iter	Passed	Remaining
404	8353	12271
405	8376	12254
406	8403	12244
407	8424	12224
408	8450	12211
409	8470	12188
410	8492	12170
411	8509	12144
412	8529	12122
413	8549	12102
414	8575	12087
415	8595	12067
416	8616	12047
417	8642	12033
418	8664	12015
419	8692	12003
420	8711	11981
421	8735	11964
422	8756	11944
423	8783	11931
424	8805	11913
425	8829	11897
426	8856	11884
427	8880	11867
428	8908	11856
429	8935	11845
430	8959	11828
431	8982	11810
432	9008	11796
433	9029	11775
434	9053	11758
435	9074	11738
436	9092	11714
437	9112	11691
438	9129	11666
439	9146	11640
440	9161	11612
441	9178	11587
442	9199	11567
443	9218	11544
444	9238	11521
445	9261	11503
446	9283	11484
447	9303	11463
448	9328	11448
449	9349	11426
450	9368	11403
451	9389	11383
452	9408	11361
453	9430	11341
454	9452	11322
455	9478	11307
456	9500	11288
457	9524	11271
458	9548	11254
459	9573	11238
460	9601	11225
461	9624	11208
462	9649	11192
463	9678	11180
464	9704	11164
465	9730	11150
466	9753	11131
467	9772	11109
468	9789	11083
469	9818	11072
470	9835	11046
471	9852	11021
472	9880	11008
473	9899	10985
474	9917	10961
475	9936	10939
476	9957	10918
477	9975	10894
478	9992	10868
479	10009	10843
480	10028	10820
481	10045	10795
482	10065	10773
483	10088	10755
484	10107	10732
485	10125	10708
486	10143	10684
487	10161	10661
488	10188	10647
489	10218	10635
490	10243	10618
491	10267	10601
492	10295	10588
493	10322	10573
494	10342	10550
495	10369	10536
496	10394	10520
497	10417	10501
498	10440	10482
499	10463	10463
500	10487	10445
501	10503	10419
502	10521	10396
503	10545	10378
504	10571	10361
505	10595	10344
506	10621	10328
507	10645	10310
508	10676	10299
509	10711	10291
510	10738	10276
511	10764	10259
512	10787	10240
513	10811	10222
514	10834	10203
515	10855	10182
516	10875	10160
517	10895	10137
518	10912	10113
519	10931	10090
520	10952	10069
521	10980	10055
522	11005	10037
523	11024	10014
524	11047	9995
525	11072	9978
526	11100	9963
527	11127	9947
528	11150	9928
529	11171	9906
530	11194	9887
531	11213	9864
532	11236	9844
533	11259	9825
534	11281	9805
535	11303	9785
536	11326	9765
537	11346	9743
538	11362	9718
539	11381	9695
540	11402	9674
541	11428	9657
542	11453	9639
543	11477	9620
544	11500	9601
545	11525	9583
546	11553	9568
547	11574	9546
548	11597	9527
549	11626	9512
550	11653	9496
551	11677	9477
552	11703	9460
553	11728	9442
554	11750	9421
555	11771	9400
556	11791	9378
557	11810	9355
558	11833	9335
559	11854	9314
560	11874	9292
561	11896	9271
562	11915	9249
563	11935	9226
564	11954	9204
565	11972	9180
566	11991	9157
567	12009	9134
568	12029	9112
569	12046	9087
570	12066	9065
571	12083	9041
572	12102	9018
573	12120	8995
574	12139	8972
575	12158	8950
576	12176	8926
577	12192	8902
578	12207	8876
579	12226	8853
580	12246	8832
581	12269	8812
582	12289	8790
583	12311	8769
584	12334	8749
585	12356	8729
586	12379	8709
587	12400	8688
588	12418	8665
589	12442	8646
590	12463	8625
591	12481	8602
592	12503	8581
593	12521	8558
594	12538	8534
595	12557	8511
596	12573	8487
597	12593	8465
598	12610	8442
599	12629	8419
600	12648	8397
601	12669	8375
602	12688	8353
603	12710	8333
604	12732	8312
605	12756	8293
606	12776	8271
607	12799	8252
608	12822	8232
609	12841	8210
610	12869	8193
611	12891	8172
612	12915	8153
613	12937	8133
614	12964	8115
615	12992	8099
616	13013	8077
617	13037	8058
618	13065	8041
619	13088	8021
620	13110	8001
621	13133	7981
622	13155	7960
623	13178	7940
624	13198	7919
625	13221	7899
626	13240	7876
627	13260	7854
628	13282	7834
629	13303	7813
630	13324	7792
631	13348	7772
632	13370	7752
633	13396	7733
634	13418	7713
635	13436	7690
636	13453	7666
637	13477	7647
638	13503	7629
639	13529	7610
640	13550	7589
641	13573	7568
642	13597	7549
643	13625	7531
644	13645	7510
645	13667	7489
646	13690	7469
647	13716	7451
648	13738	7429
649	13761	7410
650	13782	7388
651	13799	7365
652	13821	7344
653	13841	7322
654	13858	7299
655	13881	7279
656	13903	7258
657	13925	7237
658	13947	7217
659	13970	7196
660	13990	7174
661	14008	7152
662	14033	7133
663	14059	7114
664	14082	7094
665	14105	7073
666	14125	7052
667	14149	7032
668	14169	7010
669	14194	6991
670	14212	6968
671	14231	6946
672	14250	6924
673	14267	6900
674	14284	6877
675	14304	6856
676	14328	6835
677	14359	6819
678	14383	6800
679	14408	6780
680	14435	6762
681	14463	6743
682	14483	6722
683	14506	6701
684	14531	6682
685	14555	6662
686	14582	6643
687	14611	6626
688	14633	6605
689	14660	6586
690	14686	6567
691	14709	6547
692	14740	6530
693	14765	6510
694	14799	6494
695	14823	6474
696	14847	6454
697	14874	6435
698	14899	6416
699	14923	6395
700	14945	6374
701	14962	6351
702	14985	6330
703	15003	6308
704	15019	6284
705	15037	6262
706	15060	6241
707	15076	6217
708	15098	6196
709	15115	6173
710	15134	6151
711	15152	6129
712	15177	6109
713	15199	6088
714	15225	6069
715	15247	6047
716	15266	6025
717	15282	6002
718	15303	5980
719	15333	5962
720	15356	5942
721	15379	5921
722	15397	5899
723	15416	5877
724	15434	5854
725	15457	5833
726	15481	5813
727	15503	5792
728	15523	5770
729	15549	5751
730	15572	5730
731	15595	5709
732	15620	5689
733	15647	5670
734	15673	5651
735	15698	5631
736	15722	5610
737	15748	5591
738	15770	5569
739	15792	5548
740	15815	5527
741	15833	5505
742	15859	5485
743	15882	5464
744	15908	5445
745	15933	5424
746	15955	5404
747	15979	5383
748	16000	5361
749	16025	5341
750	16049	5321
751	16077	5302
752	16101	5281
753	16123	5260
754	16147	5239
755	16172	5219
756	16191	5197
757	16210	5175
758	16233	5154
759	16260	5134
760	16284	5114
761	16305	5092
762	16333	5073
763	16357	5052
764	16382	5032
765	16401	5010
766	16425	4989
767	16447	4968
768	16472	4948
769	16498	4927
770	16517	4906
771	16539	4884
772	16566	4864
773	16590	4844
774	16611	4822
775	16632	4801
776	16656	4780
777	16680	4759
778	16700	4737
779	16726	4717
780	16749	4696
781	16776	4676
782	16797	4655
783	16818	4633
784	16840	4612
785	16860	4590
786	16898	4573
787	16919	4552
788	16940	4530
789	16964	4509
790	16984	4487
791	17002	4465
792	17018	4442
793	17036	4419
794	17059	4399
795	17079	4377
796	17100	4355
797	17124	4334
798	17140	4312
799	17158	4289
800	17176	4267
801	17193	4244
802	17213	4222
803	17231	4200
804	17255	4179
805	17272	4157
806	17291	4135
807	17310	4113
808	17330	4091
809	17354	4070
810	17373	4048
811	17396	4027
812	17416	4006
813	17434	3983
814	17453	3961
815	17471	3939
816	17489	3917
817	17511	3896
818	17534	3875
819	17561	3854
820	17591	3835
821	17621	3815
822	17643	3794
823	17667	3773
824	17691	3752
825	17715	3731
826	17738	3710
827	17766	3690
828	17788	3669
829	17818	3649
830	17841	3628
831	17860	3606
832	17892	3587
833	17914	3565
834	17933	3543
835	17953	3521
836	17975	3500
837	17992	3478
838	18012	3456
839	18031	3434
840	18050	3412
841	18067	3390
842	18086	3368
843	18104	3346
844	18123	3324
845	18142	3302
846	18160	3280
847	18177	3258
848	18194	3236
849	18214	3214
850	18231	3192
851	18249	3170
852	18269	3148
853	18287	3126
854	18304	3104
855	18321	3082
856	18345	3061
857	18363	3039
858	18384	3017
859	18401	2995
860	18420	2973
861	18436	2951
862	18461	2930
863	18480	2909
864	18499	2887
865	18518	2865
866	18536	2843
867	18554	2821
868	18573	2799
869	18592	2778
870	18612	2756
871	18628	2734
872	18646	2712
873	18662	2690
874	18682	2668
875	18701	2647
876	18722	2625
877	18744	2604
878	18761	2582
879	18781	2561
880	18799	2539
881	18817	2517
882	18837	2495
883	18854	2474
884	18871	2452
885	18891	2430
886	18911	2409
887	18928	2387
888	18949	2366
889	18965	2344
890	18982	2322
891	19003	2300
892	19020	2279
893	19040	2257
894	19058	2235
895	19080	2214
896	19099	2193
897	19118	2171
898	19134	2149
899	19153	2128
900	19170	2106
901	19191	2085
902	19211	2063
903	19230	2042
904	19251	2020
905	19267	1999
906	19285	1977
907	19302	1955
908	19320	1934
909	19336	1912
910	19353	1890
911	19371	1869
912	19389	1847
913	19407	1826
914	19426	1804
915	19446	1783
916	19464	1761
917	19486	1740
918	19506	1719
919	19531	1698
920	19557	1677
921	19586	1656
922	19614	1636
923	19641	1615
924	19663	1594
925	19686	1573
926	19708	1552
927	19734	1531
928	19757	1509
929	19781	1488
930	19801	1467
931	19820	1446
932	19842	1424
933	19863	1403
934	19881	1382
935	19898	1360
936	19917	1339
937	19938	1317
938	19959	1296
939	19982	1275
940	20006	1254
941	20028	1233
942	20054	1212
943	20079	1191
944	20100	1169
945	20124	1148
946	20149	1127
947	20170	1106
948	20202	1085
949	20222	1064
950	20247	1043
951	20267	1021
952	20291	1000
953	20314	979
954	20335	958
955	20358	937
956	20381	915
957	20403	894
958	20425	873
959	20454	852
960	20482	831
961	20500	809
962	20517	788
963	20537	766
964	20555	745
965	20576	724
966	20596	702
967	20616	681
968	20635	660
969	20655	638
970	20673	617
971	20690	596
972	20706	574
973	20723	553
974	20743	531
975	20761	510
976	20781	489
977	20796	467
978	20814	446
979	20829	425
980	20844	403
981	20859	382
982	20878	361
983	20895	339
984	20913	318
985	20932	297
986	20948	275
987	20965	254
988	20981	233
989	20997	212
990	21017	190
991	21041	169
992	21069	148
993	21090	127
994	21114	106
995	21137	84
996	21160	63
997	21181	42
998	21201	21
999	21218	0
